headline,category,short_description
Utah Gov. Spencer Cox Says He Plans To Veto Trans Sports Ban Bill,POLITICS,"“I just want them to know that it’s gonna be okay. We’re gonna work through this,” Governor Spencer Cox said of trans student athletes."
Kamala Harris To Travel To Poland And Romania Amid Russian Invasion Of Ukraine,POLITICS,The vice president is meeting with NATO allies to coordinate their support for Ukraine in the face of Russia’s “unprovoked and unjustified invasion.”
"840 Children Wounded So Far In Russian Invasion, Says Ukraine",WORLD NEWS,"The head of Ukraine’s security council called on Russia to create humanitarian corridors to allow children, women and the elderly to escape the fighting."
"Zelenskyy Asked For More Lethal Aid, No-Fly Zone In Call With U.S. Congress",POLITICS,Experts have warned that a no-fly zone would amount to a U.S. declaration of war against nuclear-armed Russia.
Russia's Flagship Airline Aeroflot Halts All International Flights Except To Belarus,WORLD NEWS,Russia's aviation agency recommended all Russian airlines with foreign-leased planes halt both passenger and cargo flights abroad.
"SUV Smashes Into California Preschool, Injuring 19 Children And 1 Employee",U.S. NEWS,"None of the injuries were life-threatening, police said."
"NJ Fines DraftKings $150,000 For Allowing Proxy Betting",U.S. NEWS,"New Jersey gambling regulators have fined DraftKings $150,000 for allowing a Florida man to make online sports bets from his home."
"As War Rages, Paralympics To Open In Beijing Without Russia",SPORTS,The Winter Paralympics are set to open in Beijing with the Russian athletes sent home and the Ukrainian team escaping a war zone to get to China.
Ukrainians In U.S. To Be Protected From Deportation To War-Torn Homeland,POLITICS,Immigrant rights groups applauded the temporary designation while calling out a racist double standard on which immigrants the U.S. swiftly gives such status to.
"U.S. Added 678,000 Jobs In February As Omicron Eases",BUSINESS,Unemployment fell to 3.8% as the economy continues its pandemic recovery.
New York Times Tech Workers Vote To Unionize,MEDIA,Strong opposition from the company did not stop an election win for the NewsGuild-CWA.
Sen. Ben Ray Luján Returns To Congress After Suffering Stroke,POLITICS,The New Mexico Democrat received a standing ovation at a Senate hearing one month after he suffered a stroke.
Supreme Court Sides With Government In Gitmo State Secrets Case,U.S. NEWS,The Supreme Court has ruled for the U.S. government in a case involving a Guantanamo Bay detainee seeking what the government said is secret information.
"Purdue Pharma, US States Agree To New Opioid Settlement",U.S. NEWS,"States agreed to sign on after the Sacklers kicked in more cash and accepted other terms, including apologizing."
States Launch Probe Into TikTok's Effect On Kids' Health,U.S. NEWS,State attorneys general have launched a nationwide investigation into TikTok and its possible harmful effects on young users’ mental health.
"Manchin Fans Faint Hopes For Stalled Social, Climate Bill",U.S. NEWS,Pivotal Sen. Joe Manchin has floated the broad outlines of a reconfigured social and environment package that aims half its resources at reducing federal deficits.
Joe Biden: Abortion Rights ‘Under Attack As Never Before’,POLITICS,"Despite the president's strong words on reproductive rights, he still has yet to say the word ""abortion"" in any public statement or remarks."
"Russians Face More Sports Sanctions, But Not At Paralympics",SPORTS,Russian athletes have been restricted from competing in more sporting events around the world but the Paralympics made an exception.
Nations Line Up To Support UN Resolution Demanding Russia Stop War,WORLD NEWS,U.N. General Assembly resolutions are not legally binding but they do have clout in reflecting international opinion.
Heated Texas Congressional Primary Still Too Close To Call,POLITICS,Progressive Democrat Jessica Cisneros had a narrow lead over Rep. Henry Cuellar as election day came to a close.
"Helmet Worn By Amelia Earhart Sells For $825,000 At Auction",U.S. NEWS,Earhart was just a passenger in June 1928 when she became the first woman on board a plane crossing the Atlantic.
"Stocks Fall, Oil Tops $100 A Barrel As Ukraine War Rages",U.S. NEWS,Stocks fell as soaring oil prices raised more concerns about how Russia’s escalating war on Ukraine may impact the global economy.
CDC Estimates More Than 140 Million Americans Have Had COVID So Far,U.S. NEWS,Nearly 60% of children in the U.S. have likely had the disease.
MLB Cancels Opening Day As Labor Dispute Continues,SPORTS,Major League Baseball Commissioner Rob Manfred made the announcement after lockout talks collapsed ahead of management's deadline.
Ukrainian Ambassador Oksana Markarova To Attend Tonight's State Of The Union Speech,POLITICS,The ambassador will be a guest of first lady Jill Biden along with Facebook whistleblower Frances Haugen.
MLB Pushes Labor-Deal Deadline To Tuesday For March 31 Start,SPORTS,Major League Baseball extended its deadline for rescuing opening day and a 162-game season until Tuesday at 5 p.m.
Biden To Give First State Of The Union Address At Fraught Moment,POLITICS,"President Joe Biden aims to navigate the country out a pandemic, reboot his stalled domestic agenda and confront Russia’s aggression."
Troy Kotsur Makes History As First Deaf Actor To Win A SAG Award,ENTERTAINMENT,"The ""CODA"" star's win now makes him the unofficial front-runner for an Academy Award next month."
"UN General Assembly, Security Council To Hold Meetings About Russia's Invasion Of Ukraine",WORLD NEWS,The Security Council gave a green light Sunday for the first emergency session of the General Assembly in decades.
Capitol Police Fence Off Capitol Ahead of Biden's First State Of The Union,U.S. NEWS,Capitol Police are stepping up security for Tuesday's address and the approach of protesting truckers.
Many Capitol Riot Cases Could Hinge On 1st Trial's Outcome,U.S. NEWS,"The trial of a Texas man charged in the Jan. 6, 2021 attack could be a bellwether for the hundreds of other related cases."
"More Than 500,000 Have Fled Ukraine Since Russia Invaded, UN Reports",WORLD NEWS,"The latest count had 281,000 people entering Poland, more than 84,500 in Hungary, about 36,400 in Moldova, over 32,500 in Romania and about 30,000 in Slovakia."
BP Plans To Exit Stake In Russian Oil Giant Over Ukraine Invasion,WORLD NEWS,"If BP walks away from the holdings completely it could write down up to $25 billion, it said."
"Russia Hits Ukraine Fuel Suplies, Airfields In New Attacks",WORLD NEWS,"Russian forces blew up a gas pipeline in Kharkiv and an oil depot near the Zhuliany airport, according to the office of Ukrainian President Zelenskyy."
Nikole Hannah-Jones At 2022 NAACP Image Awards: 'Our History Is Being Attacked',ENTERTAINMENT,"""A healthy society does not ban ideas,” the Pulitzer Prize-winning journalist said as she accepted the Social Justice Impact Award at the ceremony."
"European Union Shuts Airspace To Russian Airlines, Will Buy Ukraine Arms",WORLD NEWS,"The European Union is closing its airspace to Russian airlines, and spending hundreds of millions of dollars to supply weapons to Ukraine."
New York To Lift Statewide School Mask Mandate In Days,POLITICS,"Gov. Kathy Hochul announced that the requirement will be rescinded on March 2 for kids 2 years and older, citing reduced COVID-19 cases and CDC guidance."
Screen Actors Guild Awards To Offer Oscars Preview,U.S. NEWS,"The 28th Screen Actors Guild Awards will kick off with a “Hamilton” reunion, feature a lifetime achievement award for Helen Mirren and, maybe, supply a preview of the upcoming Academy Awards."
North Korea Fires Suspected Missile Into Sea,WORLD NEWS,South Korea’s military says North Korea has fired a suspected missile into the sea off of its eastern coast.
'Stand Your Ground' Laws Have Skyrocketed Since Trayvon Martin's Killing,POLITICS,"Ten years after the 17-year-old was fatally shot by George Zimmerman, over 30 states now have some form of the law."
Poland And Sweden Refuse To Play Russia In World Cup Playoffs,WORLD NEWS,"""No more words, time to act!” wrote Polish soccer federation president Cezary Kulesza on Twitter."
"Aid Groups, Friendly Countries Scramble To Help Ukrainians Under Assault By Russia",WORLD NEWS,"More than 150,000 Ukrainian refugees have now left their homeland, the United Nations said, and thousands have been displaced across the country."
"Some 150,000 Ukrainians Flee Largest European Ground War Since WWII",WORLD NEWS,"While some tried fleeing by car or train, others traveled miles by foot toward border crossings, hoping for safe refuge."
Detroit Zoo Moves Birds Inside Over Avian Flu Outbreak In Michigan,U.S. NEWS,"Most of the birds, including the peacocks who normally roam freely, will be sequestered inside due to worries over a deadly strain of avian flu."
Republicans At CPAC Would Rather Talk About The Southern Border Than Ukraine,POLITICS,"Speakers didn't say much about the Russian attack, which was unfolding during the GOP conference."
GOP Sen. Jim Inhofe To Retire This Year,POLITICS,"The staunch conservative and climate change denier is stepping down before his term is up, setting up a likely competitive GOP primary in Oklahoma."
UN To Scale Up Humanitarian Operations In Ukraine Following Russia's Invasion,WORLD NEWS,"The UN will allocate $20 million to “help with health care, shelter, food, and water and sanitation to the most vulnerable people affected by the conflict.”"
Europe Braces For Refugees As Russia Attacks Ukraine's Capital,WORLD NEWS,"With Russia's invasion of Ukraine in full swing, neighboring countries in Europe are preparing for an influx of people fleeing the destruction."
Another Starbucks Store Votes To Unionize,BUSINESS,The store in Arizona joins two in New York as the only corporate Starbucks stores with a union.
MLB 4 Days From Deadline To Cancel Games And Shorten Season,U.S. NEWS,"Both sides agreed to meet again Friday, which will be the fifth straight day of bargaining and the 11th on core economics since the lockout started Dec. 2."
Ukraine Attack Leaves Baltics Wondering: Are We Next?,WORLD NEWS,"To Estonians, Latvians and Lithuanians, Russia’s belligerence toward Ukraine has some worried that they could be the Kremlin's next target."
Queen Elizabeth Cancels Engagements For 2nd Time This Week,WORLD NEWS,"The queen previously canceled engagements on Tuesday, but she did have her weekly audience with Prime Minister Boris Johnson on Wednesday."
Russian Military Action In Ukraine Causes Oil Prices To Soar,BUSINESS,Asian and European stock markets plunged and oil prices surged to nearly $100 a barrel Thursday after Russia attacked Ukraine.
Antony Blinken Says He Believes Russia Will Invade Ukraine Imminently,POLITICS,"“I can’t put a date or exact time on it, but everything is in place for Russia to move forward,"" the secretary of state said."
Cyberattacks Accompany Russian Military Assault On Ukraine,TECH,"The websites of Ukraine's defense, foreign and interior ministries were unreachable or painfully slow to load Thursday after a wave of distributed-denial-of-service attacks."
2 Louisiana Deputies Charged In Shooting Death Of Man In Parked Car,CRIME,"The Jefferson Parish deputies were fired and arrested after killing Daniel Vallee, 34. The sheriff said lethal force ""was not justified."""
